algorithm,language,sample,time
heap,python,88,0.0684459209442138
heap,python,89,0.0726315975189209
heap,python,90,0.0680172443389892
heap,python,91,0.0707511901855468
heap,python,92,0.072906494140625
heap,python,93,0.0729663372039794
heap,python,94,0.0681848526000976
heap,python,95,0.0717644691467285
heap,python,96,0.0713922977447509
heap,python,97,0.0699744224548339
heap,python,98,0.0666978359222412
heap,python,99,0.0733706951141357
radixlsd,python,0,0.0899665355682373
radixlsd,python,1,0.0901305675506591
radixlsd,python,2,0.1142027378082275
radixlsd,python,3,0.0888404846191406
radixlsd,python,4,0.0839815139770507
radixlsd,python,5,0.0885441303253173
radixlsd,python,6,0.0863254070281982
radixlsd,python,7,0.0936939716339111
radixlsd,python,8,0.0985112190246582
radixlsd,python,9,0.09248948097229
radixlsd,python,10,0.1031656265258789
radixlsd,python,11,0.1014719009399414
radixlsd,python,12,0.0916039943695068
radixlsd,python,13,0.1024327278137207
radixlsd,python,14,0.0935487747192382
radixlsd,python,15,0.101539134979248
radixlsd,python,16,0.0900042057037353
radixlsd,python,17,0.090562105178833
radixlsd,python,18,0.0968730449676513
radixlsd,python,19,0.094027042388916
radixlsd,python,20,0.0976736545562744
radixlsd,python,21,0.0927762985229492
radixlsd,python,22,0.0839972496032714
radixlsd,python,23,0.0859560966491699
radixlsd,python,24,0.0822093486785888
radixlsd,python,25,0.0820813179016113
radixlsd,python,26,0.0913257598876953
radixlsd,python,27,0.0886068344116211
radixlsd,python,28,0.1056022644042968
radixlsd,python,29,0.0945868492126464
radixlsd,python,30,0.0973045825958252
radixlsd,python,31,0.1065661907196044
radixlsd,python,32,0.0923736095428466
radixlsd,python,33,0.0890836715698242
radixlsd,python,34,0.1176321506500244
radixlsd,python,35,0.0960721969604492
radixlsd,python,36,0.1016829013824462
radixlsd,python,37,0.0947434902191162
radixlsd,python,38,0.099869966506958
radixlsd,python,39,0.0886328220367431
radixlsd,python,40,0.0833373069763183
radixlsd,python,41,0.0926885604858398
radixlsd,python,42,0.0846724510192871
radixlsd,python,43,0.0811831951141357
radixlsd,python,44,0.0842740535736084
radixlsd,python,45,0.0823590755462646
radixlsd,python,46,0.0838062763214111
radixlsd,python,47,0.081547737121582
radixlsd,python,48,0.0825355052947998
radixlsd,python,49,0.0794494152069091
radixlsd,python,50,0.0819966793060302
radixlsd,python,51,0.0844838619232177
radixlsd,python,52,0.0852012634277343
radixlsd,python,53,0.088918924331665
radixlsd,python,54,0.0843396186828613
radixlsd,python,55,0.0906853675842285
radixlsd,python,56,0.0810461044311523
radixlsd,python,57,0.0875039100646972
radixlsd,python,58,0.0955064296722412
radixlsd,python,59,0.089257001876831
radixlsd,python,60,0.086627721786499
radixlsd,python,61,0.0835664272308349
radixlsd,python,62,0.084763765335083
radixlsd,python,63,0.0827836990356445
radixlsd,python,64,0.0876910686492919
radixlsd,python,65,0.0948824882507324
radixlsd,python,66,0.0843050479888916
radixlsd,python,67,0.1075506210327148
radixlsd,python,68,0.0860621929168701
radixlsd,python,69,0.0846402645111084
radixlsd,python,70,0.081104040145874
radixlsd,python,71,0.0798263549804687
radixlsd,python,72,0.085810899734497
radixlsd,python,73,0.0844402313232421
radixlsd,python,74,0.0819108486175537
radixlsd,python,75,0.0835645198822021
radixlsd,python,76,0.0923123359680175
radixlsd,python,77,0.0801489353179931
radixlsd,python,78,0.0807619094848632
radixlsd,python,79,0.0827622413635253
radixlsd,python,80,0.0798773765563964
radixlsd,python,81,0.0794835090637207
radixlsd,python,82,0.0936412811279296
radixlsd,python,83,0.0865426063537597
radixlsd,python,84,0.0839216709136962
radixlsd,python,85,0.0797345638275146
radixlsd,python,86,0.0877890586853027
radixlsd,python,87,0.0825052261352539
radixlsd,python,88,0.0872678756713867
radixlsd,python,89,0.0812959671020507
radixlsd,python,90,0.0864651203155517
radixlsd,python,91,0.0789747238159179
radixlsd,python,92,0.0822317600250244
radixlsd,python,93,0.0821940898895263
radixlsd,python,94,0.0828182697296142
